,title,link,location
0,Junior Python Developer,https://www.indeed.com/rc/clk?jk=f8f068da6dd93fa6&fccid=ca7680692810259a&vjs=3,"New York, NY 10022 (Midtown area)"
1,Penetration Testing Trainee (Remote USA),https://www.indeed.com/rc/clk?jk=487b30db63184515&fccid=bf0600f0f252b45b&vjs=3,"Florida, NY"
2,Data Python Developer,https://www.indeed.com/rc/clk?jk=31661855134fd73a&fccid=1c2a61588e44123b&vjs=3,"New York, NY"
3,Content Contributor : iOS Development,https://www.indeed.com/rc/clk?jk=a7f18bd945797fb5&fccid=b9d4e9eceb3ff4c0&vjs=3,New York State
4,Content Contributor : Django,https://www.indeed.com/rc/clk?jk=3b5568b7c0bcae64&fccid=b9d4e9eceb3ff4c0&vjs=3,New York State
5,Java / Python Tutors,https://www.indeed.com/rc/clk?jk=6dd414e5bf2653aa&fccid=5551312f0bfb4c11&vjs=3,"New York, NY 10001 (Clinton area)"
6,Senior Level Python Developer,https://www.indeed.com/rc/clk?jk=bfa41cad10426505&fccid=c85d08a88c59e378&vjs=3,"New York, NY"
7,Data Analytics Intern,https://www.indeed.com/rc/clk?jk=bbfec3eab5e85a67&fccid=1b50fcfb150b1b48&vjs=3,"New York, NY"
8,Digital Archives Assistant,https://www.indeed.com/rc/clk?jk=7c541433bfbcb0b8&fccid=ec3edbdb9b5c3b64&vjs=3,"Long Island City, NY"
9,Associate,https://www.indeed.com/rc/clk?jk=664e970d446ec6f4&fccid=ec089a92f115a89e&vjs=3,"New York, NY"
10,"Early Careers | Data Development, Governance, and Analytics...",https://www.indeed.com/rc/clk?jk=cccb83ee916012f9&fccid=16a97ed26c75bf2d&vjs=3,"New York, NY"
11,"Senior manager, customer intelligence",https://www.indeed.com/rc/clk?jk=8d0b059e7e800237&fccid=9c64a5c780f4ce99&vjs=3,"New York, NY"
12,Software Engineer (New Graduate Summer 2021),https://www.indeed.com/rc/clk?jk=653913a350bc087f&fccid=7c07af204e67482c&vjs=3,"New York, NY"
13,Data Technician (Full- or Part-Time),https://www.indeed.com/rc/clk?jk=da727c0cddda240e&fccid=56a26d4c816e53d1&vjs=3,"New York, NY"
14,Senior Django/Python Developer,https://www.indeed.com/rc/clk?jk=ec36299f56189c31&fccid=e53e1451c3ffe7f3&vjs=3,"Brooklyn, NY"
15,Software Engineers & Web Developers,https://www.indeed.com/rc/clk?jk=597b9830f39b5420&fccid=bc8bf69154b5fc28&vjs=3,"New York, NY"
16,Developer - Trade Processing,https://www.indeed.com/rc/clk?jk=ac4d01b31b152da5&fccid=afcb2790e9bd57c7&vjs=3,"New York, NY"
17,Senior Data Analyst,https://www.indeed.com/rc/clk?jk=723e7ec9cc3e7057&fccid=01fd1f2f239c15f4&vjs=3,"New York, NY"
18,"Software Engineering Internship, Summer 2021",https://www.indeed.com/rc/clk?jk=180a51e476fb7f4f&fccid=9ecb91618c39a24f&vjs=3,"Brooklyn, NY 11201"
19,Data Analyst,https://www.indeed.com/rc/clk?jk=589a6796386ffbda&fccid=3b2b55df6cade29d&vjs=3,"New York, NY"
20,STATISTICIAN,https://www.indeed.com/rc/clk?jk=170fc25cffd33e85&fccid=f9fe675c31a6b8de&vjs=3,"New York, NY"
21,Software Application Developer,https://www.indeed.com/rc/clk?jk=5cd1cb57f3aadfd0&fccid=abca1b1c7c4682b2&vjs=3,"Plattsburgh, NY"
22,"Security Engineer, Special Projects",https://www.indeed.com/rc/clk?jk=223e1dd0d57d43b9&fccid=d26901b7a9b35c6c&vjs=3,New York State
23,FULL STACK DEVELOPMENT OPPORTUNITY (FULL-TIME) – Work from H...,https://www.indeed.com/rc/clk?jk=a643f96736b796a8&fccid=74033d9ad24cc449&vjs=3,"Oswego, NY 13126"
24,Python Programmer Instructor,https://www.indeed.com/rc/clk?jk=92441b01fbfb4df6&fccid=5551312f0bfb4c11&vjs=3,"New York, NY 10001 (Clinton area)"
25,Data Informatics Analyst II,https://www.indeed.com/rc/clk?jk=d91e292519d54e36&fccid=12042485d1cec3f9&vjs=3,"Schenectady, NY 12305"
26,"VP, Operations Strategy - RT",https://www.indeed.com/rc/clk?jk=cec09614df6cf830&fccid=f42bbfc261ca3e64&vjs=3,"New York, NY 10004 (Financial District area)"
27,Quantitative Researcher,https://www.indeed.com/rc/clk?jk=e2c13dac12042e37&fccid=e99e0f54c1059cab&vjs=3,"New York, NY"
28,"Strategy Associate, YouTube",https://www.indeed.com/rc/clk?jk=aaeefcbc91c91eba&fccid=a9021c35fcef6968&vjs=3,"New York, NY"
29,Research Strategist,https://www.indeed.com/rc/clk?jk=2eb2eec9449dab03&fccid=7c43bf142222e360&vjs=3,New York State
30,Python Engineer,https://www.indeed.com/rc/clk?jk=88d41b4bb4a9cf00&fccid=9ace5aa4e4fa6ce2&vjs=3,"New York, NY"
31,Sr. BI Developer,https://www.indeed.com/rc/clk?jk=6eed453a7000171c&fccid=4b841d912d46e4fd&vjs=3,"New York, NY 10006 (Financial District area)"
32,INTERNSHIP - Index Trading,https://www.indeed.com/rc/clk?jk=dfd3274c4096b9bc&fccid=df6948c9b8da6236&vjs=3,"New York, NY"
33,Students - Equity Trading Desk Internship Summer 2019,https://www.indeed.com/rc/clk?jk=7649cd45d0afd8f0&fccid=7d204885a50ad05e&vjs=3,"New York, NY"
34,"Analyst, Advanced Analytics",https://www.indeed.com/rc/clk?jk=d00cd256b2e2838e&fccid=f2c8db2d75b00437&vjs=3,"New York, NY"
35,"Quantitative Researcher, Electronic Trading",https://www.indeed.com/rc/clk?jk=6c74eb17877f6ff9&fccid=9db25778e3ea9b73&vjs=3,"New York, NY"
36,Intern - Engineering (Data),https://www.indeed.com/rc/clk?jk=c12abeff93eef71c&fccid=212918c290ce6cf0&vjs=3,New York State
37,Algorithmic Quant Researcher - Analyst,https://www.indeed.com/rc/clk?jk=621e6b236fbc8fc4&fccid=f1d8e147024abb3f&vjs=3,"New York, NY"
38,Scientific Programmer,https://www.indeed.com/rc/clk?jk=e86692715bef2aad&fccid=69d294dd564bf502&vjs=3,"Buffalo, NY 14260"
